LDC_Translation_1	LDC_Translation_2	LDC_Translation_3
For many people in American's southern states, the presidency of Barack Obama will be the realization of Dr. Luther King's dream.	For many people in the southern states of America, the presidency of Barack Obama will be a realization of Dr. Luther King's dream.	For many in the southern states, Barack Obama's presidency will be the fulfillment of Dr. Luther King's dream.
Additional Political Agent Released	Additional Political Agent Freed	Additional Political Agent Released
Unidentified masked men kidnapped the Additional Political Agent ten days ago from South Waziristan.	An additional political agent was abducted by unknown masked men from North Waziristan 10 days ago.	Unknown masked men had kidnapped Additional Political Agent from South Waziristan ten days ago.
Sources say that local Taliban members of the Mullah Nazir group kidnapped the worker.	According to the sources, the official was abducted by the local Taliban of the Mullah Nazir group.	Sources said that the official had been kidnapped by the Mulla Nazir group of local Taliban.
According to the local administration, on Tuesday at around four o'clock in the afternoon, a tribal council brought Aamir Latif, Additional Political Agent of South Waziristan, to the Wana Scouts Camp.	According to the local administration, the additional political agent of North Waziristan, Aamir Latif, was brought to the Wana scouts' camp at around 4 pm on Tuesday by a tribal Jirga.	According to local administration, A tribal Jirga brought Additional Political Agent of South Waziristan, Amir Latif, to Wana Scouts Camp on Tuesday at around 4:00 in the evening.
However, they did not say who kidnapped the Additional Political Agent.	However, they did not say who abducted the additional political agent.	However, he did not say as to who had kidnapped the Additional Political Agent.
However, the local people say that it was the local Taliban members of the Mullah Nazir group who kidnapped the political agent.	Nevertheless, the local residents say that the political agent was abducted by the local Taliban of the Mullah Nazir group.	However, according to local people, the Political Agent had been abducted by the Mulla Nazir group of local Taliban.
Aamir Latif had been kidnapped at the time when he was going from Wana to Tank.	Aamir Latif was abducted when he was going from Wana to Tank.	Amir Latif was abducted when he was on his way from Wana to Tank.
On January 11, 2009, seven armed masked men kidnapped Additional Political Agent Aamir Latif along with his driver from the tribal area Karkanara of South Waziristan.	On January 11, 2009 Aamir Latif was abducted with his driver by 7 masked armed men in the tribal area of Karkanra of North Waziristan.	Seven armed, masked men abducted the Additional Political Agent, Amir Latif, along with his driver in the tribal area of Karkanra of South Waziristan on January 11, 2009.
According to a government worker, the kidnappers first disarmed the guards present in the car, then sat the Additional Political Agent in a car and took him away.	According to a government official, the abductors first disarmed the security guards present in the vehicle, and then they took the additional political agent from there in a vehicle.	According to government official, the abductors first unarmed the security guards present in the vehicle and then fled away with the Additional Political Agent in another car.
According to the local administration, after the kidnapping of the Additional Political Agent, security forces put a blockade on all the check posts in South Waziristan and the semi-tribal areas. There was a strict search of everyone coming and going, and authorities put an economic sanction on Wana since last week.	According to the local administration, after the abduction of the additional political agent, the security forces had blocked all the checkposts in North Waziristan and semi-tribal areas, and all passers-by were being strictly checked, and for the last one week the officials had also placed economic sanctions on Wana.	According to local administration, following the abduction of the Additional Political Agent, security forces had blocked all check posts in South Waziristan and the semi tribal areas; everyone passing through was strictly searched and authorities had also imposed economic sanctions on Wana for the last one week.
On December 8, 2008, Asmat Ullah, the Assistant Political Agent of North Waziristan, had also been kidnapped when he was going from Mir Ali to Bannu to spend Eid holidays. A few days later, unidentified masked men killed Tehsil administrator Aman Ullah along with two other individuals in North Waziristan.	On December 08, 2008, the assistant political agent of North Waziristan, Asmatullah, was also abducted when he was going on Eid holiday from Mir Ali to Bannu. And after a few days, two people were killed, including Tehseeldar Amanullah, by unknown masked persons in North Waziristan.	Assistant Political Agent of North Waziristan Ismatullah was also abducted in December 8, 2008 when he was going from Mir Ali to Bannu to celebrate Eid holidays. And after that, unidentified masked men killed two people, including Tehsildar Amanullh, in North Waziristan.
British Hacker's Victory in Court	British Hacker Wins in Court	British Hacker Wins in Court
A forty-two-year-old British citizen has admitted that he hacked the website of the American Army.	A 42 year-old British citizen has confessed that he had hacked into a Web site of the American Military.	A 42-year-old British citizen has admitted that he had hacked into American military website.
Gary suffers from Asperger syndrome. A person suffering from Asperger syndrome has an obsession with doing one type of activity.	Gary is a patient of Asperger's Syndrome. It should be noted that the patient of Asperger's Syndrome has an obsession of doing the same type of work.	Garry suffers from Asperger's Syndrome. It should be understood that those with Asperger's Syndrome become obsessed with a particular activity.
His attorneys say that if he is handed over to America, it is feared that he will try to commit suicide.	His attorneys say that if he is handed over to America, then it is feared that he would try to make a suicide attempt.	His lawyers have said that he will be at risk of committing suicide if he is handed over to America.
However, the government attorneys say that there's little danger with respect to Gary's health.	Nonetheless, the government attorneys are saying that the concerns about Gary's health are meager.	Government laywers, however, said the risk to Mr Gary's health was low.
Lord Justice Morris K. and Mr. Justice Simon when declaring the verdict said that Gary is allowed to make an appeal in the British Court.	While giving the verdict, Lord Justice Maurice Kay and Mr. Justice Simon said that Gary is permitted to file a review petition in the British Court.	Lord Justice Maurice Kay and Mr. Justice Simon ruled that Gary is permitted to appeal for a review in the British Court.
Gary's attorneys had adopted the standpoint in court that if Gary is sent away from his home and family, he may commit suicide.	Gary's attorneys took the plea in the court that if Gary was separated from his home and family, he might commit suicide.	Garry's lawyers had taken the stand in court that if he were removed from his home and family, he may commit suicide.
They went on to say that the Interior Secretary has not considered this matter.	They further said that the Home Secretary did not consider this aspect.	They further said that this aspect was not considered by the Home Secretary.
But the government attorneys say that the Interior Secretary had used his authority.	But the government attorneys say that the Home Secretary used his discretionary powers.	However, government lawyers said, the Home Secretary had acted within her powers.
Gary has never denied hacking the website of the American Army.	Gary has never denied hacking into the American Military Web site.	Garry has never denied hacking into the American military website
Gary had hacked the American computer system in the years 2001 and 2002, causing the American government to lose eight hundred thousand dollars.	Gary hacked into an American computer system in 2001 and 2002, as a result of which the American Government incurred a loss of eight-hundred thousand dollars.	Garry had hacked into American computer systems in 2001 and 2002, which caused a loss of $800,000 to the American Government.
Gary had hacked the American Navy and NASA systems along with 97 computers.	Gary has hacked into 97 computers, including the American Navy and NASA system.	Garry had hacked into 97 computers, including those of American Navy and NASA.
However, Gary says that he did not hack with any bad intentions. Rather, he was searching for information about aliens, which he thought the American government had kept secret.	Nonetheless, Gary says that he did not hack with any ulterior motives; he was rather searching for information about celestial beings which, in his mind, the American Government had kept secret.	Garry said that he had no malicious intent in hacking, but was looking for information on aliens which he believed the American government had kept secret.
Gary's mother, Janice Sharp, said that she is happy with the verdict.	Gary's mother, Janis Sharp, said that she was happy with this verdict.	Gary's mother Janis Sharp said, she is happy with this ruling.
Gary's lawyer said, "It is the right verdict."	Gary's attorney said, "This is the correct verdict".	Gary's lawyer said, 'This is the right ruling.
This case has been going on since 2002, and at last a suitable decision has been reached.	This case has been going on since 2002, and finally a right verdict has come.	This case has been going on since 2002 and finally a correct ruling has been made.
Kashmir: Two Hizb Commanders Killed	Kashmir: Two Hizb Commanders Killed	Kashmir: Two Hizb Commanders Killed
Lieutenant Colonel Acharya, spokesperson of the Indian army's northern command posted in Jammu, told BBC, "Based on a confirmed report, 24 men from the Rashtriya Rifles and Jammu Kashmir Police besieged the area in the Batyas forest belt in Tehsil Gandoh of the Doda District where armed extremists were hiding."	Spokesman of the North Command of the Indian Army, deployed in Jammu, Lieutenant Colonel Acharya told BBC: 'The 24 Rashtriya Rifles and Jammu Kashmir Police, after getting the verified information, besieged the place in Batti Haas forest in Tehseel Gandoh of District Dodah where the armed extremists were hiding".	Spokesperson for the North command of the Indian Army stationed in Jammu, Lt. Colonel Acharya, told BBC: "At receiving verified information, 24 Rashtrya Rifles and Jammu Kashmir policemen cordoned off Batyas jungle in Gandoh Tehsil of Doda where armed extremists where hiding.
They fired at the army and two armed extremists were killed in the counter-offensive.	They opened fire on the Army and in the counter operation, two armed extremists were killed.	They opened fire on the military and two armed militants were killed in retaliation fire.
The spokesperson says that the two extremists killed include Zahoor Uddin Khanday, Tehsil Commander of the banned Hizbul Mujahideen, active in the district for the past twelve years, who was an expert in explosives.	According to the spokesman, those who were killed included the Tehsil Commander of the defunct Hizbul Mujahideen, active for 12 years in the district, Zahooruddin Khande, who was an expert in gun-powder explosions.	The spokesperson said that the two extremists who had been killed included Hizb-ul-Mujahideen's Tehsil Commander Zahuruddin Khande, who had been active in the district for 12 years and was an expert in gun powder explosions.
The other was identified as Sajjad Hussain who, according to the army, had been affiliated with the extremists since last year.	His accomplice has been identified as Sajjad Hussain, who, according to the army, got associated with extremists last year.	His companion was identified as Sajjad Hussein, who, according to the Army, had been associated with the extremists since last years.
According to Acharya, the operation is still underway in the forest belt because, he says, it is possible there are more extremists present there. The army says that during the first stage of the operation, two Kalashnikov rifles were also recovered.	According to Acharya, the operation is still going on in the said forest area of Minkorah, because, according to him, the presence of more extremists is expected there. According to the army, in the first phase of the operation, two Kalashnikovs have also been recovered.	According to Acharya, operation is still continuing in the said jungle area because, according to him, presence of more extremists is still possible. The army has said that two AK rifles were also recovered in the first stage of the operation.
Yesterday the provincial head of police Kuldip Kumar Khoda, while issuing the 2008 statistics, declared this to be the most peaceful year until now.	While releasing the statistics of the year 2008 the previous day, the Head of the Provincial Police Kuldeep Kumar Khuda declared this year the most peaceful year till now.	The head of the province's police, Mr. Kuldeep Kumar Khuda, released the 2008 statistics yesterday and declared the year as the most peaceful year yet.
It is worth mentioning that no violence took place during the Assembly elections held in seven stages in November and December.	It is worth mentioning that there was no violence perpetrated, even in Assembly elections held in November and December in 7 phases.	It is worth mentioning that no violence took place during the assembly elections held in seven phases in November and December.
More than 350 candidates took part in these elections.	More than 1350 candidates participated in these elections.	More than 1,300 candidates participated in these elections.
Hizbul Mujahideen has been active in Jammu and Kashmir for the last eighteen years.	Be it known that Hizbul Mujahideen has been active in Jammu Kashmir for the last 18 years.	It should be noted that Hizb-ul-Mujahideen has been active in Jammu and Kashmir for the last 18 years.
For the first time in July 2000, Hizb announced a unilateral cease fire, after which dialogue took place between the Indian government and Hizb commanders.	Hizb announced unilateral ceasefire for the first time in July 2000, after which talks were held between the Indian Government and the commanders of Hizb.	Hizb had announced unilateral ceasefire for the first time in July 2000, after which talks were held between Hizb commanders and the Government of India.
However, the cease-fire ended within only fifteen days.	However, the ceasefire ended in just 15 days.	However, the ceasefire ended in only fifteen days.
Later on numerous high commanders of Hizbul Mujahideen were killed in different operations.	After this, several high-level commanders of Hizbul Mujahideen were killed in different operations.	Many Hizb-ul-Mujahideen commanders were later killed in different operations.
On Thursday, Pakistan's well-known daily newspaper, "The News," wrote about the extremist groups settled in Pakistani-administered Kashmir that Lashkar-e-Tayaba and Hizbul Mujahideen have decided to review their Kashmir policy.	On Thursday Pakistan's famous daily newspaper 'The News' wrote about extremists present in Pakistan- administered Kashmir that Lashkar-e-Tayyiba and Hizbul Mujahideen have decided to review its Kashmir Policy.	Pakistan's prominent daily newspaper 'The News' had reported about the extremist groups in Pakistan-administered Kashmir on Thursday that Lashkar-e-Taiba and Hizb-ul-Mujahideen have decided to review the Kashmir policy.
The policy of both organizations until now has been that the Kashmir issue can be resolved through armed resistance.	Let it be evident that till now both organizations had the policy that the Kashmir issue could be resolved only with armed resistance.	It should be noted that the policy of both the organisations till now, was that the Kashmir issue could be resolved through armed struggle.
Dera Bugti: Bomb Blast on Gas Pipeline	Dera Bugti: Gas Pipeline Explosion	Dera Bugti: Explosion on Gas Pipeline
According to police officials, an eighteen-inch diameter pipeline running from Loti Gas Field to Pir Koh has been ruptured by the explosion.	According to police officials, the 18-inch diameter gas pipeline from Loti gas field to Pir Koh has been blown up with explosion.	According to police officials, the 18-inch diameter pipeline from Gas Field to Pirkoh was blown up.
This pipeline runs toward the Sui Plant.	This pipeline goes towards Sui Plant.	This pipeline goes towards the Sui Plant.
Meanwhile, a person by the name of Sarbaz Baloch, presenting himself as the spokesperson of the banned organization, the Baloch Republican Army, has accepted responsibility for the attack on behalf of his organization over the telephone.	In the meantime, a person named Sarbaz Baloch, who declares himself spokesman of the defunct organization Baloch Republican Army, has accepted the responsibility of this attack.	Meanwhile, Sarbaz Baloch, proclaimed spokesperson for the banned organisation, Baloch Republican Army, accepted responsibility for the attack on behalf of his organization via telephone.
This is the fourth gas pipeline, which has been blown up in four days.	A fourth gas pipeline has been blown up in four days.	This is the fourth gas pipeline which has been blown up within four days.
On Friday in Dera Allah Yar, an eighteen-inch diameter pipeline was destroyed, repair of which was underway until Sunday morning.	On Friday in Dera Allah Yaar, an 18-inch gas pipeline was destroyed on which repair work continued until Sunday morning.	An 18-inch diameter pipeline had been destroyed on Friday in Dera Allah Yar and the repaire work continued till Sunday morning.
Mushtaq Siddiqui, General Manager of Sui Southern Gas Company in Quetta, has said the gas supply through this pipeline will be opened in the afternoon.	The General Manager of Sui Southern Company in Quetta, Mushtaq Siddiqui, has told that the supply of gas through this pipeline would be resumed post-afternoon.	General Manager of Sui Southern Gas Company, Mushtaq Siddiqi, has informed that the supply of gas from this pipeline will resume past the afternoon.
This pipeline comes to Quetta by way of Sibbi.	This pipeline comes to Quetta through Sibbi.	This pipeline connects with Quetta via Sibbi.
There has been a severe shortage of gas for the past three days in Quetta, Ziarat, and other surrounding areas, where, on top of the continuous snowfall and temperature which has fallen below the freezing point, heaters and stoves are now no longer working.	There is a severe shortage of gas in the Quetta Ziarat and other suburbs, where on one hand there is a continuous snowfall and the mercury has fallen below freezing point, and on the other hand the heaters and burners have become inoperative.	There is severe crisis of gas in Quetta, Ziarat and other nearby areas where, on one hand, snowfall continues and the temperature has fallen below zero while on the other hand, heaters and stoves are not working.
In addition, there was a bomb blast from a motorcycle in Mal Mandi in the city of Dera Bugti, but according to police there has been no loss of life due to the blast.	Besides this, in Mall Mundi, city of Dera Bugti, an explosion occurred in a motor cycle; however, according to the police, no loss of life, whatsoever, took place in this explosion.	In addition, in Dera Bugti city, a motor cycle explosion occurred in Mal Mandi but according to the police, no loss of life took place.
Administrator for Jamaat-ud-Dawa	Administrator Appointed for Jamaat-ud-Dawa	Administrator for Jamaat-ud-Dawa
The Tayaba Center, headquarters for Jamaat-ud-Dawa, is in Mureedkay, about twenty-five kilometers from Lahore.	The Headquarters of Jamaat-ud-Dawa is located in Mureed Ke, around 25 kilometers away from Lahore.	Markaz-e-Taiba, the headquarter of Jamaat-ud-Dawa is situated in Muridkay 25, about kilometers from Lahore.
This Center includes hospitals, schools and student hostels.	This center has a hospital, a school and hostels for the students.	This Center includes a hospital, a school and a hostel for students.
Punjab Law Minister Rana Sanaullah Khan says that the appointment of a supervisor in Jamaat-ud-Dawa's Center has taken place so that the work of its welfare organizations will not be hindered.	According to the Law Minister of Punjab Rana Sanaullah Khan, the administrator has been appointed in the center of Jamaat-ud-Dawa so that the working of the welfare institutions present there should not be affected.	Punjab Law Minister Rana Sanaullah said that the appointment of administrator in the Jamaat-ud-Dawa headquarter has been made so that the welfare activities of the organization are not affected.
According to Khalid Waleed, son-in-law of the head of Jamaat-ud-Dawa Hafiz Saeed, high government official Khaqan Babar has been appointed as an administrator for the supervision of hospitals, schools and other welfare organizations located in the Center, while the Center's police staff has also been increased.	According to Khalid Waleed, the son-in-law of the Chief of Jamaat-ud-Dawa Hafiz Saeed, a high-level government officer Khaqan Baber has been appointed as administrator for the supervision of the hospital, school and other welfare institutions in the center ; whereas, according to him, the police force deployed in the center has also been beefed up.	According to Khalid Walid, son in law of Hafiz Saeed, head of Jamaat-ud-Dawa, a top government officer Khaqan Babar has been appointed as administrator to supervise the hospital, school and other welfare departments of the the center whereas, according to him, the number of police personnel at the headquarter has also been increased.
The United Nations' Security Council placed a sanction on Jamaat-ud-Dawa, after which Pakistan's federal government has taken action throughout the country against Jamaat-ud-Dawa, and head of Jamaat-ud-Dawa Hafiz Saeed, along with other leaders, has been placed under house arrest. The appointment of an administrator in the Tayaba Center by the Punjab government is another of the actions being taken on behalf of the federal government against Jamaat-ud-Dawa.	The Security Council of the United Nations has imposed restrictions on Jamaat-ud-Dawa, after which the federal government of Pakistan launched a countrywide operation against Jamaat-ud-Dawa and the leaders, including the chief of Jamaat-ud-Dawa, Hafiz Saeed, have been placed under house arrest. The appointment of administrator in Taiba Center by the Government of Punjab is also a continuation of the operation against Jamaat-ud-Dawa by the Federal Government.	Following UN Security Council's ban on Jamaat-ud-Dawa, Pakistani federal government has taken action against Jamaat-ud-Dawa across the country and various leaders including chief of the Jamaat, Hafiz Saeed, have been detained. Appointment of administrator at Markaz-e-Taiba from the government of Punjab is part of the series of federal government's actions against Jamaat-ud-Dawa.
Khaqan Babar is from the DMG or District Management Group.	Khaqan Babar belongs to DMG, meaning District Management Group.	Khaqan Babar is from DMG, that is, theDistrict Management Group.
Hafiz Khalid Waleed said that Khusro Pervez Khan, Commissioner of the Lahore Division, came to the Tayaba Center on Sunday along with police and civil administrators and inspected different parts of the Center. Khalid Waleed has condemned the appointment of an administrator in Jamaat-ud-Dawa's Center and said that the number of children in the schools and patients in the hospitals of the Center had already shrunk due to the actions of the government.	Hafiz Khalid Waleed said that Lahore Division Commissioner, Khusro Pervaiz Khan came to Taiba Center on Sunday with the police and civil administration and inspected different sections of the center. Khalid Waleed has condemned the appointment of the administrator in Jamaat-ud-Dawa's center from the government and said that due to the government operation, the number of patients in the hospital situated in the center and the students in the school has already declined.	Hafiz Khalid Walid said that the Commissioner of Lahore division, Khusroo Parvez Khan, arrived at Markaz-e-Taiba, along with police and civil administration and inspected different parts of the headquarters. Khalid Walid condemned government's action to appoint administrator in the Center, and said that the number of patients in the hospital and children in school has already dropped because of government's actions.
According to Jamaat-ud-Dawa's press release, Jamaat's head Hafiz Saeed has written a letter to General Secretary of the United Nations Ban Ki-Moon and the Committee for the Taliban in which an appeal has been made to lift the sanction placed on the Jamaat by the Security Council.	In the meantime, according to a press release of Jamaat-ud-Dawa, the chief of Jamaa Hafiz Saeed has written a letter to the Secretary General of the United Nations Ban-Ki Moon and the Committee for Taliban in which they have been appealed for the elimination of a restriction on Jamaat by the Security Council.	According to a press release of Jamaat-ud-Dawa, Chief of Jamaat-ud Dawa Hafiz Saeed has written a letter to the UN Secretary General Ban Ki Moon and the Committee regarding Taliban, urging them to lift ban on the organization imposed by the Security Council.
In the letter it is stated that the Security Council's unilateral decision for a sanction on the Jamaat-ud-Dawa is unjust and that Jamaat-ud-Dawa has no connection with terrorism, but is busy doing welfare work.	It has been said in the letter that the unilateral decision of putting restriction on Jamaat-ud-Dawa by the Security Council is unjust and Jamaat-ud-Dawa has no connection with terrorism, whereas it is involved in welfare activities.	The letter reads that the unilateral decision to impose ban on Jamaat-ud-Dawa by the Security Council is unjust and that Jamaat-ud-Dawa has nothing to do with terrorism, rather, it is busy in welfare activities.
Edhi on Relief Mission to Gaza	Edhi on Relief Mission to Gaza	Edhi on Gaza's Relief Mission
He has just now been able to reach Egypt from New York after passing through several stages for acquiring the needed permission to enter Gaza.	After going through different steps in the process of getting permission to enter Gaza, he has succeeded only in reaching Egypt from New York as of now.	After passing through the several stages required for obtaining permission to enter Gaza, he could only manage to reach Egypt from New York.
When talking to the BBC Urdu Service from Cairo, he said that he has not yet been able to reach Gaza because Egypt and Israel have set up many barriers.	Talking to BBC Urdu Service from Cairo, he said he has not reached Gaza yet, because Egypt and Israel have set up so many obstacles.	Talking to the BBC Urdu Service from Cairo, he said that he still has not been able to reach Gaza because Egypt and Israel have placed many hurdles in the way.
He said, "I have been here for eight days and have not yet received permission to go to Gaza.	He said that he is there for eight days and still he has not received permission to go to Gaza.	He said, it has been eight days since his arrival there, yet he still has not been given permission to enter Gaza.
I am in Cairo right now and hope that tomorrow I'll get permission to enter Gaza."	"I am in Cairo at this time and hopefully will get the permission to go to Gaza by tomorrow."	I am currently in Cairo and I hope that tomorrow permission will be granted to enter Gaza.'
Going into more detail, he said, "At first I had only been given a visa to go to Gaza for seven days but later, as I insisted, the Pakistani officials helped me and got it extended to a one-month visa, but on the condition that I go to Gaza only once, making a single entry."	Telling the details, he said: "In the beginning I was given the visa to go to Gaza only for 7 days, after which on my insistence, the Pakistani officials helped me and got it extended to one month, but only on the condition that I would go to Gaza only once, meaning Single Entry.	He elaborated, 'First I was given a seven days' visa for Gaza and when I insisted, Pakistani officials helped me extend it to one month but with the condition that I will be going to Gaza only once, i.e. single entry.
He said that his son and daughters are with him and they want to do relief work in Gaza.	he said he has his sons and daughters with him and they want to carry out relief assistance in Gaza.	He said that his son and daughters are accompanying him and they want to participate in relief activities in Gaza.
"I have brought some money with me.	I have brought some money'	I have brought some cash.
I have given a $100,000 check to the Red Cross in Egypt and also gave $10,000 in cash so that they can send relief supplies to Gaza."	I have given a check of one-hundred thousand dollars to the Red Cross of Egypt and also ten-thousand dollars in cash, so that they could send relief goods to Gaza.	I have given a check for $100,000, and $ 10,000 in cash, to Egypt's Red Cross to send relief items to Gaza.
Four More Ministers in Cabinet; Sixty-Three Total	Four More Ministers in The Cabinet, Totaling 63	Four More Ministers in Cabinet, Total 63
The four new federal ministers include two from the Muttahida Qaumi Movement and two from the Fazl-ur-Rehman group of Jamiat Ulema-e-Islam.	Of the four new federal ministers, two are from the Muttahida Qaumi Movement and two are members of the Jamiat-e-Ulema-e-Islam Fazl-ur-Rehman group.	Four news federal ministers include two from Muttahida Qaumi Movement and two from Fazlur Rahman group of Jamiat-ul-Ulema-e-Islam.
President Asif Ali Zardari administered the oath to the new ministers.	President Asif Ali Zardari took the oath from new ministers.	New ministers were sworn in by President Asif Ali Zardari
Prime Minister Yousaf Raza Gilani and the members of the Federal Cabinet were also present in the oath-taking ceremony.	At the oath taking ceremony Prime Minister Yousuf Raza Gilani and members of the federal cabinet were also present.	Swearing-in ceremony was attended by Prime Minister Yousuf Raza Gilani and the members of federal cabinet
The total number of federal ministers, ministers for state, and advisers, including the four new ministers in the Federal Cabinet, is 63.	With the induction of four new ministers in the federal cabinet, the number of Federal Ministers, Ministers of State and Advisors totals 63.	With the inclusion of four new ministers in federal cabinet, the number of federal ministers, ministers of state and advisors has turned 63.
The two ministers from MQM are Farooq Sattar and Babar Ghauri, while Azam Swati and Maulana Atta-ur-Rehman are from the Fazl-ur-Rehman group of Jamiat Ulema-e-Islam.	The two ministers of MQM are Farooq Sattar and Babar Ghauri, whereas from Jamiat-e-Ulema-e-Islam Fazl-ur-Rehman group, Azam Swati and Maulana Ataur Rahman are included.	The MQM ministers are Farooq Sattar and Babar Ghauri while Azam Swati and Maulana Ataur Rahman are from Fazlur Rahman group of Jamiat-ul-Ulema-e-Islam.
The portfolios of these ministers have not yet been announced.	As of now, the portfolios of these ministers have not been announced.	Departments of these ministers have not yet been announced.
Farooq Sattar is the convener of MQM, while Babar Ghauri is MQM's senator, and his term ends on March 10.	Farooq Sattar is the convener of MQM, while Babar Ghauri is a Senator of MQM whose tenure is ending on March 10.	Farooq Sattar is the MQM Convener while Babar Ghauri is its senator and his tenure is ending on March 10.
Azam Swati was elected senator as an independent candidate and is among the wealthiest senators.	Azam Swati was elected Senator as an independent, and he is reckoned to be one of the wealthiest Senators.	Azam Swati was elected senator as an independent and he is counted among the richest senators.
Maulana Atta-ur-Rehman is a member of the National Assembly and is the younger brother of Maulana Fazl-ur-Rehman.	Maulana Ataur Rahman is a Member of the National Assembly and is the younger brother of Maulana Fazl-ur-Rahman.	Maulana Ataur Rahman is a member of National Assembly and the younger brother of Maulana Fazlur Rahman.
It should be noted that the four advisers holding important positions are not members of the National Assembly.	This should be kept in mind that four advisors holding important posts are not members of the National Assembly.	It is worth noting that four advisors holding key posts are not members of the National Assembly.
When twenty-two new ministers and eighteen ministers of state had been included in the Cabinet on November 3, 2008, at that time it was thought that MQM members will also be included in the Cabinet, but due to disagreement about the distribution of ministries, MQM was not included.	It should remain clear that when on November 03, 2008, 22 new ministers and 18 state ministers were included, it was thought that MQM's members would also be included in the cabinet; however, due to the differences in the distribution of the ministries, MQM did not join.	It is worth mentioning that 22 new ministers and 18 ministers of state were included in the cabinet on November 3, 2008, and it was then thought that the MQM will also be included but it did not join because of differences on the distribution of ministries.
Balochistan: Pipeline Exploded	Balochistan, Pipeline Blown	Balochistan: Pipeline blown up
According to police, unidentified individuals ruptured the 18-inch diameter pipeline that runs from different wells in Pir Koh to the Sui gas plant with an explosion in the early morning.	According to the police, this is an 18-inch diameter pipeline which, from different wells in Pir Koh, goes to the gas plant in Sui, and it was blown up early morning with explosion.	According to police, this 18-inch diameter pipeline which connects the different wells of Pirkoh to the Sui Gas Plant, has been been blown up.
Yesterday, Sui well number 3 was completely destroyed by an explosion, and a gas pipeline near Dera Allah Yar has been damaged by an explosion.	Besides this, the previous day, well number 3 in Sui was completely destroyed with explosion and a gas pipeline close to Dera Allah Yar has been damaged with explosion.	In addition, Well No. 3 in Sui was completely destroyed yesterday by explosion and a gas pipeline was damaged in an explosion near Dera Allah Yar.
Sarbaaz Baloch, spokesman of the banned organization, the Baloch Republican Army, has accepted responsibility for these blasts on behalf of his organization.	The responsibility of these explosions has been accepted by Sarbaz Baloch, spokesman of the Baloch Republican Army, on behalf of his organization.	Sarbaz Bloch, spokesperson of the banned organisation Bloch Republican Army, has taken responsibility of this attack on behalf of his organisation.
Since the beginning of 2009, there has been an increase in incidents of violence in Balochistan.	With the very inception of the year 2009, the incidents of terrorism have increased in Baluchistan.	With start of the year 2009, violence has surged in Balochistan.
To date this month, dozens of gas pipelines have been ruptured, while attacks on trains and people from the province of Punjab have increased.	This month, dozens of gas pipelines have so far been blown up with explosions, whereas the attacks on trains and people belonging to Punjab province have increased.	Till now, dozens of gas pipelines have been blown up this month while attacks on trains and on people connected to Punjab have increased.
Although Nawab Aslam Raisani, Chief Minister of Balochistan, has expressed concern over these incidents and issued orders to the police to exchange information with the secret services, preventing these incidents has not yet been possible.	Although the Chief Minister of Balochistan Nawab Aslam Raeesani has shown concern on these incidents and has ordered the police to exchange information with the intelligence agencies. Curbing these types of incidents has not been possible yet.	Although, Chief Minister of Balochistan, Nawab Aslam Raisani, has expressed concern over these incidents and has issued orders to the police to exchange information with intelligence agencies, but such attacks have not yet been prevented.
$819 Billion Economic Recovery Package Approved	819 Billion-Dollar Economic recovery Package Approved	$819 Billion Stimulus Package Approved.
No member of the Republican Party has voted in favor of President Obama's plan.	None of the members belonging to the Republican Party voted in favor of this plan of President Obama.	No member of the Republican Party voted in favor of this plan of President Obama.
The Republican members said that this economic plan is very "expensive" and will not be effective.	The Republican members were of the view that this economic plan was very 'expensive' and would not prove effective.	Republicans said that the stimulus package was too 'costly' and will not prove effective.
In the House of Representatives, 244 votes were cast in favor of this package and 188 against it.	244 votes in favor and 188 votes against this package were cast in the House of Representatives.	244 voted were cast in favor of this package while 188 votes were cast against it in the House of Representatives.
This economic recovery plan is to be presented next week in the Senate where the ruling Democratic Party has a minimal majority.	This plan of economic recovery is going to be presented to the Senate next week, where the ruling Democratic Party has an extremely slim majority.	This stimulus package will be presented in the Senate next week where the ruling Democratic Party enjoys a very insignificant majority.
It is feared that due to the Republican Party's severe opposition, its approval by the Senate will not be easy.	It is feared that due to the severe opposition from the Republican Party, its approval would not be easy from the Senate.	Concern is being expressed that due to intense opposition by the Republican Party it will not be easy to pass it in the Senate.
After the approval of the economic recovery plan in the House of Representatives, Barack Obama urged the members not to let political differences get in the way of this important plan.	After the approval of the economic recovery plan in the House of Representatives,Barack Obama insisted to the members that they should not allow political differences to become a barrier to this important plan.	After the passage of the stimulus package in the House of Representatives, Barack Obama asked the members not to let political differences come in the way of this important plan.
The president said that this plan, which he hopes will become a law by next month, will prove to be helpful in creating a favorable environment in the country for American commerce to thrive.	The President said that this plan, which he expects to be transformed into a bill by next month, would prove to be helpful in making the environment favorable in the country in which American trade will flourish.	Obama said that the plan, which he hoped will turn into law by next month, will help create a better atmosphere in the country where American trade will grow.
